"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
274772,"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453900,450400,447900,445800,444700,448800,449900,447100,444500,443600,442100,441600,440400,438900,437500,436700,436800,437000,434600,433300,438700,448400,453200,454100,455700,458400,462400,466600,467600,467700,472400,475600,476500,480800,488200,490700,489800,490500,494700,498200,499400,500200,500500,500900,501000,501700,505300,511700,518200,525100,528100,528300,531100,538700,542500,542000,540000,539900,541900,550700,561600,570300,578000,586200,590800,595000,599400,608100,620500,631900,639000,645400,660100,671900,672100,670200,680700,687700,683100,670800,667300,671500,672500,668400,662900,658300,658200,662900,668600,674000
192689,"Paradise","Las Vegas","NV","Las Vegas","Clark",2,197800,196900,196700,196500,196300,196700,197100,198400,200200,200800,200100,199300,198600,198500,198400,197900,197600,197900,198900,199200,198400,198000,198600,199100,199400,199400,199600,200200,200600,200400,199500,198600,199100,200300,201100,202700,205100,206600,207100,207300,208100,210200,212900,215700,218100,219400,219500,219800,219900,219700,219300,219500,221300,223600,224400,224800,226300,227900,228000,227400,227700,228000,228400,230200,233200,235600,237500,238600,239400,240500,241200,241900,243400,245700,248400,250300,250800,250600,251300,253300,256400,259900,263100,265000,266600,268700,270700,273100,277100,282900,289300,295200,299800,306200,317400,331900,347800,365100,382700,398200,409000,416000,422200,429100,435400,439900,445300,453100,460600,465000,468200,471300,474300,477900,481400,486300,491000,494600,497000,498200,497000,494300,493000,492800,492100,489300,486800,484200,483000,482900,481800,478200,474900,473300,471200,467700,463600,460000,456300,450800,443000,434900,425000,412500,398300,384900,373400,364100,355600,347500,339800,332500,324900,316800,308400,300100,292200,284500,275600,266600,259800,255400,252200,249200,247400,246900,247400,247800,248200,247300,245800,243900,241800,239500,237000,234900,232300,229100,225700,223600,222500,221900,220300,218400,217200,216700,215300,213300,212800,213900,215800,216900,216800,218100,222000,227300,231500,234000,236000,239200,242400,244100,245300,248100,252000,255700,261300,268700,275500,281500,286800,290600,292600,293600,294700,296300,297900,299600,300100,299000,299000,301100,304900,308000,309900,311700,314600,315900,316600,318300,320100,320700,320300,319300,318400,319200,321600,324900,327200,329000,331200,332800,335400,338700,340900,340600,340400,340500,341600,343200,345500,348400,352200,356100,358000,358000,359000,361900,365700,369000
27080,"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,489200,490100,488800,485500,484400,488200,490900,491100,494300,501400,505700,507300,510900,516100,521500,523300,519200,515000,516000,521600,529500,539600,549900,557500,561300,569400,580200,586400,590700,597800,606300,620100,637800,648900,653400,655600,656500,657100,665100,679400,691100,694700,699100,703600,708000,717500,728100,735200,739600,738700,732800,729500,728300,729400,734200,741100,746600,754200,767600,779500,783300,787300,796900,806700,813500,819500,825800,831700,832300,826900,821400,819900,827000,842600,858200,871900,888400,909500,928100,941400,949700,953600,961400,984000,1013400,1022600,1011800,1002100,1003700,1011200,1022800,1038400,1063300,1088900,1104300,1117000,1133100,1149300,1170300,1192500,1210900,1225000,1236100,1243500,1252300,1265400,1275500,1281500,1299400,1335900,1374200,1409200,1435700,1448700,1449700,1453900,1455800,1461700,1480100,1494100,1486800,1482100,1497200,1522200,1545500,1557900,1560300,1556600,1550800,1549700,1555200,1565800,1573800,1569700,1549600,1535600,1529300,1524500,1521000,1517800,1508100,1491200,1473500,1459000,1444700,1426000,1406900,1389400,1374800,1366500,1364000,1365000,1364200,1360500,1357300,1356000,1352100,1339400,1324700,1310700,1304200,1301100,1302600,1301200,1310000,1323200,1325200,1309900,1293100,1291100,1301400,1299600,1283900,1281100,1295000,1310600,1315600,1313200,1308700,1298700,1291300,1286500,1283300,1286500,1295700,1299400,1286500,1263900,1251200,1251600,1251800,1252100,1268200,1294800,1315700,1325300,1333400,1339400,1346200,1356900,1361400,1366300,1389200,1429100,1452100,1482000,1514900,1541100,1558700,1571900,1567000,1568900,1586900,1600800,1608900,1624800,1639900,1643500,1646700,1652300,1651800,1656700,1658000,1660700,1674200,1704300,1723500,1732300,1745300,1751100,1744600,1745600,1760400,1770300,1774900,1773800,1777300,1787200,1803200,1816900,1829100,1834100,1841800,1849000,1851300,1852800,1877100,1901200,1902700,1889700,1875400,1870500,1869700,1859000,1845800,1849800,1861300,1869300,1910900,1973900
118208,"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,144000,142800,142600,142600,140800,137500,136000,137000,138900,139900,140500,141400,142300,142600,142700,142400,142500,143700,145000,145700,146200,146900,147400,147700,147700,148200,149600,151500,153300,155000,156600,157200,156900,156300,156500,157400,158200,158400,158200,157700,158000,159600,160900,162200,163400,164300,165900,168200,170800,172900,173900,174100,174400,174200,173900,174800,177000,179400,180900,182300,184000,186300,188100,189600,190400,190800,190800,190600,191100,192600,194400,196400,199400,202700,205700,208700,212200,217500,223300,227900,230700,233100,235500,238100,240100,241500,244100,249000,254700,259000,262700,267100,273000,280100,287300,294200,301800,309600,317900,325800,333100,340400,349200,358400,367200,376700,386900,397400,407300,417100,425000,432000,441200,450000,458000,465600,470200,471000,474300,480100,486900,497200,511400,525100,534300,539600,543300,548200,552800,555700,557400,559600,559900,557500,552100,547100,543800,541300,535800,528700,519400,510200,502000,493200,479500,466200,454800,444000,432500,422000,411600,402800,392000,380700,371000,361900,351700,342100,332000,322100,314300,309300,307300,304200,309500,318500,319500,314800,315700,314700,313400,312500,311500,311300,311800,310600,308000,305500,303100,300300,297700,296500,295900,295600,295100,293900,293100,293200,292000,290200,290700,292900,296000,300400,304400,307700,310900,313100,314000,316500,320000,324000,330200,338100,344200,348800,353900,359000,363000,366500,369300,372000,373900,376100,380300,386900,392100,395500,397300,399800,404700,410300,414100,416600,415600,413500,412800,412000,410500,412300,414400,416300,419700,422600,424100,428300,434200,439900,446000,451100,455800,460500,471800,483800,489400,490000,494000,498000,502900,508600,516000,525200,533700,541000,544500,546200,549600,556000,564100,572200
192820,"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,172300,172200,172800,172200,171700,172800,174100,174800,175700,176700,177200,177100,177000,177200,177200,177300,177500,177800,178000,177600,177100,177000,177400,178200,179000,179500,180700,182600,183800,183800,182700,182200,183700,186100,187400,187600,188100,189400,190200,190900,191900,193100,194700,196700,197500,196900,196300,196000,195500,194000,192300,191700,192100,193500,195600,197700,198700,199700,200800,201100,201100,201600,202200,203800,206300,207900,208700,210100,210800,210400,209900,209900,210000,210800,212400,213600,214900,216200,216200,216000,217500,220400,223300,226200,229700,233400,236400,239400,242100,245300,250000,256300,262900,270400,279000,290800,304500,318400,333000,346100,354000,359200,365000,369900,375500,380800,385300,388900,392700,396900,403000,411000,417900,422400,428200,433800,435100,435200,437900,439900,440100,439800,437700,435700,436600,438700,440300,440600,439000,437200,437700,439300,438900,434500,428700,423600,418100,412300,406800,399300,389100,378800,371100,363900,355600,347500,340500,332700,323400,313800,305100,295900,284300,272800,263200,253900,244800,236900,226300,214200,206500,204200,201400,199100,203100,210200,210500,204400,198700,195700,194500,192900,191400,189600,187200,186700,187400,185400,182000,180200,180100,178700,176200,174900,174500,173400,171000,167000,163800,163700,165000,166300,168000,169900,171500,174100,176100,176000,176700,180000,182500,183100,184600,188000,191400,194200,199600,206500,212400,217100,222700,228000,230600,230300,232300,237300,240400,242200,243200,243600,243400,245500,246700,246600,245000,244500,247400,252700,256000,258500,262200,265300,265800,265100,267800,272500,275800,278400,280000,279500,279800,281600,285800,290300,293300,294100,293800,291700,291700,293900,295900,296100,297400,299800,301500,303400,308000,314100,320300,324000
192796,"Spring Valley","Las Vegas","NV","Las Vegas","Clark",6,237900,234800,232400,231100,230300,229500,228400,227600,229300,232500,234000,234400,235300,235800,235700,234900,234400,234300,234000,233700,234000,234100,233900,234100,235100,236200,238000,241500,244400,245700,246300,246700,246400,245500,244800,245200,245400,245800,246500,246800,246800,247600,249000,250200,250900,251000,251400,251900,252700,254200,255500,256000,256600,258000,259800,261500,263200,265500,267500,268600,269100,269000,268700,268600,268700,269700,272200,274900,276100,276800,277600,278200,278400,279100,280000,281000,282200,284000,285900,288000,290500,292400,294200,296700,299700,302700,305400,308500,313300,319400,325600,333000,342000,351200,362100,378200,398500,418600,438300,456600,471300,480400,487500,494500,502500,510900,517500,519700,519900,521800,525200,529500,533700,537800,541100,543400,544600,546400,550200,554100,555700,555600,555400,555100,556400,559500,560400,557800,553000,549300,547100,545000,541500,539000,537100,535000,529400,520100,511300,503500,492800,479700,467500,455900,444500,431500,419000,409200,400900,392100,384100,376300,367300,358100,349900,342000,333900,326400,317700,307400,297600,291700,288800,286600,289100,295500,297000,291400,286700,284400,283200,281900,279900,277600,275800,274900,273000,269200,264400,261800,259800,256800,253000,250100,248800,248100,246300,244200,242900,241900,243900,248900,252800,254600,257200,261600,266700,270900,274100,277100,280800,284600,287400,290300,295900,303200,310100,317000,325300,331500,334000,336500,340800,343300,345400,347900,349200,351100,353900,354600,354100,355400,357200,358700,359000,359900,363600,366600,368300,370500,373200,374100,374100,374500,376200,376700,374700,373600,374100,376600,379400,381800,384100,386600,387500,387600,388900,391500,393400,394300,395700,397400,399200,401500,404000,405800,406800,409500,414100,417700
268496,"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,125600,123700,122500,121500,119800,117700,116000,115900,117100,118300,119500,121000,123200,124900,125900,127000,128800,130500,131600,132700,134200,135200,135100,134900,135600,136300,137000,137100,137400,138000,138800,138400,137400,136100,135000,134400,134400,134400,134300,134700,135600,136500,136500,136500,136800,137300,138600,140600,141400,140900,141200,142100,142500,142700,143600,144800,145600,146900,148000,148500,149100,150700,152000,153000,153600,154300,154700,155000,155700,157200,158000,158600,160200,161700,162200,162800,163800,165200,167600,170900,173800,176400,180100,183800,186800,189400,192100,194700,197000,199300,202600,207700,213500,218700,223800,228800,234200,240700,248200,253100,258500,266300,274600,280000,284200,289800,297400,305200,312800,321400,332500,345200,356700,366100,375200,383400,390000,393900,397200,402100,408400,415500,424500,436600,448500,456800,461500,465700,469500,472900,476000,479100,481200,480800,478700,477900,477700,477100,474800,472000,467200,460200,452500,447100,440100,430300,418600,405200,390500,376500,363400,350900,337000,323300,310900,299300,287000,274100,261600,252700,246600,241100,237000,234600,238600,245600,248700,246700,248100,249800,251000,250400,249700,248600,248100,247700,246600,245600,245000,244200,242700,243400,244100,243900,243700,244100,243800,243300,242700,242200,243300,245000,248500,253000,256600,258000,260000,263700,267800,272200,275200,277400,280000,283400,283800,284100,288000,294100,299400,303700,307100,309500,311100,312900,315600,320600,324100,327000,330500,335000,338500,342300,344000,344700,345500,346100,347600,348900,351600,354400,355700,356100,358300,360100,362200,365100,367300,370000,374300,378800,382600,384900,390000,395800,397800,397600,401200,406000,410200,413300,416600,421800,429100,436300,439100,438500,440200,446100,450700,452300
112547,"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,226900,225100,223100,222000,222100,223100,223800,224600,226000,227400,228600,229600,230800,231100,231100,231800,232500,232500,232900,234200,236000,238400,240300,241800,243400,245700,247900,249600,250600,251100,251100,251300,251600,252200,253500,255500,257800,260800,262700,263500,265400,268500,271400,274500,278300,281800,284000,286200,288400,290700,292600,294000,295000,296800,298900,300400,301100,302200,303700,305800,308000,309900,311400,312800,314700,316400,317300,317200,315900,314800,316400,319100,320800,321400,322200,324400,326900,329300,331300,333800,336800,339400,340600,341600,343200,345000,348400,352600,355700,357800,361300,364600,368000,371900,376100,379600,384700,391600,400600,408800,415600,423500,433400,446000,462200,480400,498200,516100,535400,554200,572200,590400,608100,623900,637800,647600,652500,656700,658600,656100,652100,650800,648500,646900,650400,654200,654600,654900,657900,660700,661800,659800,655600,650500,646100,641800,635900,627000,617800,609800,601200,591100,583100,576700,569700,562500,555600,548700,542100,535900,529600,523200,518500,514400,508700,501400,494400,487000,479000,471400,463600,458000,453200,448600,437800,424300,415500,415800,414800,411200,405700,399700,391600,384300,379100,377000,375300,374800,375500,374800,372600,371800,372200,373100,375800,376900,375500,373900,376700,381800,386000,389000,395600,405100,414100,419900,424500,431400,440500,446400,449400,453400,457300,460200,463900,467900,472200,475700,479100,484300,491100,497100,503500,507000,507500,507700,507900,504200,501400,503600,507300,507700,507100,507000,509100,513200,516900,518000,517300,516900,517500,518600,520300,522600,524000,525000,528000,531600,534700,537600,538800,537600,537200,539000,540800,541900,543200,545900,548900,549800,548900,548600,551100,555200,557900,559200,561200,564600,568000,569900
111818,"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,198400,197300,196300,195700,196300,197700,198400,199400,200500,200700,200400,199100,197700,198300,200300,201800,203300,204900,206900,208900,210600,212900,215000,216000,215900,217100,219200,221200,220900,220300,219800,218600,218000,219000,222400,226700,230100,231500,232400,233000,234700,236400,237100,237300,238800,240900,241400,241400,243300,246400,249000,252500,255600,257300,258400,258800,258700,260400,262300,263000,263400,264800,266600,268700,271500,273800,274900,275700,277700,279600,281500,284300,287900,289300,287600,285300,285700,288400,290800,294500,298800,300800,300400,300800,301800,303300,306800,311400,314300,315900,319000,323200,327600,332400,337700,341900,345700,349700,352600,353800,354700,358300,364500,370700,377200,387400,400400,414900,428500,440500,455400,473900,489500,499500,509600,520400,525600,523300,520600,520100,521800,527000,532700,535100,536600,538000,538200,537900,538800,540500,541500,538400,531900,525900,521300,517000,513600,510500,506300,499300,491700,484800,475800,464600,457200,452500,444200,433200,424300,417000,409300,401700,395700,390400,383600,375800,368300,361000,353900,348600,344600,339900,334500,329700,324800,320000,318400,319700,319100,315700,311600,306700,301900,299300,298600,297500,296200,295600,295300,294500,292700,289700,287200,286300,286200,287500,289500,292700,296300,299800,303100,306700,311300,316100,322500,330100,337000,340900,343700,345000,344700,344800,346100,348700,353100,359700,367000,373400,378400,381500,383000,384600,386900,388700,390700,393300,392500,391000,391600,392000,390600,389300,388900,390100,393000,396400,397900,399000,401900,404300,404000,404300,405500,406400,407300,409200,411100,412800,416400,419700,419700,418600,417500,416000,416700,418600,420200,422000,425000,426400,425500,423700,424600,427100,429300,430300,430400,431500,433600,434400
41466,"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462100,459600,455800,453100,450200,444600,438800,438800,442700,443600,438500,435400,435100,430900,426300,425600,422200,415700,413300,412900,411800,412300,416200,418100,420100,424500,428800,435800,443800,446600,447400,454900,466500,480600,491900,501000,510300,520900,526100,528500,531900,535200,539700,545300,550200,553800,558500,563800,568000,572000,577400,581800,584300,593500,606000,611000,607100,604500,606100,606400,603300,601900,603200,603200,601900,604000,607700,609500,611200,612900,616700,621600,626400,630800,637400,643800,647800,649600,653200,659100,663000,667100,673300,679800,686800,693700,703800,713900
