"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,950,850,900,895,882.5,825,795,795,795,825,795,750,750,795,775,750,775,772,775,750,750,750,775,795,772.5,750,750,790,795,795,795,795,800,800,835,825,825,850,850,825,850,875,900,900,900,875,925,950,950,925,995,995,900,927,925,929,942,969,997.5,930,955,992.5,980,1002.5,955,957.5,1005,1000,1000,1050,1100,1045,1050,1126.5,1150,1150,1105,1095,1075
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495,4500,4500,4500,4400,4425,4450,4485,4500,4360,4310,4300,4400,4501,4500.5,4500,4500,4501,4500,4500,4500,4500,4372.5,3995,4310,4400,4400,4300,4250,4198,4250,4250,4200,4201.5,4200,4200,4195,4371.5,4395,4325
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,2047.5,1995,2000,2100,2100,2100,2100,1962.5,1850,1797.5,1750,1795,1775,1775,1795,1887.5,1795,1822.5,1750,1847.5,1892,1857.5,1895,1827.5,1782.5,1865,1895,1950,1950,1899,1850,1922.5,1895,1950,1850,1850,1897,1850,1962.5,2150,2250,2195,2158,2195,2195,2250,2200,1997,2250,2272.5,2095,2175,2245,2200,2212.5,2236,2200,2293,2207.5,2207.5,2363,2297.5,2350,2222.5,2200,2250,2363,2200,2295,2295,2375,2300,2385,2350,2325,2300,2400,2395,2412.5,2485,2485,2405,2395
"Upper East Side","New York","NY","New York","New York",4,,,,,,2700,3000,3200,3000,2900,2950,3000,2995,3000,3300,3200,3200,3300,3200,3195,3195,3100,3200,3200,3197,3250,3300,3350,3295,3225,3200,3150,3095,3050,2900,3000,3200,3200,3199,3200,3295,3300,3399,3395,3300,3250,3457.5,3500,3495,3595,3695,3765,3600,3800,3745,3695,3395,3462.5,3400,3550,3600,3500,3495,3500,3550,3650,3695,3750,3550,3395,3500,3300,3500,3495,3495,3500,3395,3450,3300,3300,3255,3300,3300,3450,3495,3400,3500
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,662.5,675,697,650,650,650,650,650,660,650,650,650,650,650,650,625,627.5,650,650,650,650,650,650,650,650,650,650,600,600,600,625,650,650,650,650,675,662,650,654.5,650,650,650,650,650,650,650,675,650,675,650,675,695,675,695,675,700,700,700,695,700,750,725,695,750,726,700,740,750,795,800,800,800,800,800,795,835,820,795
"East New York","New York","NY","New York","Kings",6,,,,,,,,,,,1400,1375,1375,1400,1400,1400,1400,1375,1400,1405,1488,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1500,1400,1500,1500,1500,1500,1500,1495,1500,1500,1500,1500,1500,1500,1514,1550,1507,1500,1500,1550,1550,1600,1600,1600,1600,1650,1600,1600,1600,1600,1650,1600,1625,1699,1700,1675,1675,1750,1800,1770,1699,1750,1850,1875,1800,1800,1800,1850,1800,1850,1799,1799,1800,1800
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1000,1000,1050,995,980,1065,1000,960,950,1050,1037,1105,1077.5,1065,1080,1095,1100,1095,1060,1120
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,927,949,912,935,938,950,885,897,880,899,887.5,905,910,944.5,912.5,900,910,885,907.5,907.5,905,1016,975,975,1005,955,963,967,951,950.5,995,955,966.5,930,955,1008,1052.5,1069,1043.5,1096,1135,1064,1111,1103,1061
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.5,922,883,960,952,960.5,953,943,983,962,965,859.5,876,941,951.5,949,962,986,1036,1003,982.5,986.5,983,975
"Washington Heights","New York","NY","New York","New York",10,,,,,,1550,1650,1695,1650,1695,1750,1700,1695,1650,1640,1650,1650,1650,1680,1650,1700,1795,1750,1800,1800,1800,1750,1795,1795,1795,1800,1800,1850,1850,1895,1875,1850,1850,1850,1850,1850,1875,1875,1895,1900,1950,1895,1950,1995,1997.5,1950,1995,2000,1975,1995,1995,1950,1995,2000,2043,2050,2036,2000,2000,2000,2000,2000,2000,2000,1995,1995,2000,2000,2000,2000,2000,2050,2095,2095,2100,2195,2200,2200,2199,2147.5,2150,2135
