"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1715,1672.5,1795,1955.5,1961,1995,1997.5,1950,1844,1850,1799.5,1797
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,1150,1150,1100,1100,1100,1100,1100,1100,1095,1095,1100,1110,1100,1097,1075,1047.5,1050,1050,1050,1050,1095,1098.5,1100,1100,1100,1100,1125,1125,1100,1100,1100,1100,1100,1100,1125,1100,1150,1125,1125,1100,1100,1100,1141,1100,1150,1168,1195,1195,1199,1200,1195,1150,1200,1200,1200,1200,1245,1209,1225,1250,1250,1250,1200,1200,1255,1195,1250,1250,1250,1295,1295,1300,1300,1300,1300,1300,1300
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,5075,5516,5095,5295,5500,5800,5950,6000,6000,5500,5475,5699,5700,5530,5700,6097.5,6047.5,6172,6000,5950,6000,5800,5500,5500,5296,4995,5500,5500,5200,5499,5499.5,5545,5700,5700,5295,5600,6350,6500,6600,6595,6500,6750,6597.5,6500,6500,6900,6500,6497.5,6500,6500,6400,6450,6310,6400,6200,6350,6350,6200,6300,6150,5647.5,5350,6200,6000,5895,5997.5,5900,6150,6100,6000,5900,5695,5995,5800,5796,5990,6200
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875,3899,3800,4050,3537.5,3747.5,3422.5,3600,4200,3995,3800,3750,3650,3675,3795,3797.5
"Upper East Side","New York","NY","New York","New York",5,,,,,,,,,,,,,,4500,4350,4295,4300,4395,4200,4495,4300,4400,4497.5,4495,4495,4225,4425,4495,4300,4495,4562.5,4595,4600,4650,4650,4695,4595,4500,4400,4495,4500,4895,4895,4795,4945,5000,5115,5300,5200,5000,5500,5775,6000,6000,6100,6422.5,6500,5595,5500,5980,5900,5425,5547.5,5595,5500,5200,5400,5500,5900,5995,5995,5995,6080,6000,5500,5197.5,4995,5129,5600,5595,5595,5500,5995,5995,5535,5597.5,5587,5582,5500,6150,5995,5595
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,925,900,925,925,900,895,899,900,895,900,925,900,900,900,900,900,900,895,895,899,900,910,900,900,900,900,899,895,899,899,899,900,900,917.5,950,947.5,925,925,950,950,950,940,932.5,950,950,950,950,950,950,950,950,975,975,950,950,985,995,975,975,997.5,1032.5,975,999,975,1000,995,995,999,1050,1050,1050,1100,1072.5,1067,1099.5,1095,1075
"East New York","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,1625,1650,1625,1600,1625,1625,1625,1675,1800,1800,1744,1750,1700,1700,1700,1700,1700,1750,1800,1750,1750,1750,1800,1816.5,1800,1750,1850,1800,1797.5,1760,1800,1800,1800,1800,2037,1800,1800,1800,1800,1800,1800,1825,1800,1900,1900,1900,1900,1900,1999.5,2000,2000,1900,2000,2000,2000,2000,1925,2000,2000,2000,2000,2000,2000,2200,2100,2000,2150,2125,2200,2150,2200,2200,2200,2199,2200,2197.5
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,1187.5,1200,1225,1250,1207.5,1200,1200,1195,1162.5,1150,1175,1150,1125,1100,1100,1100,1125,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1125,1142.5,1125,1150,1150,1150,1150,1175,1190,1186.5,1180,1177.5,1175,1195,1200,1195,1195,1200,1199,1200,1200,1200,1225,1200,1200,1235,1250,1200,1247,1250,1275,1250,1226,1250,1245,1250,1295,1250,1250,1275,1250,1250,1250,1299,1295,1300,1300,1300,1300,1325,1350,1350,1350,1350
"Washington Heights","New York","NY","New York","New York",9,,,,,,,,,,,,2195,2225,2200,2195,2250,2200,2200,2200,2200,2200,2250,2295,2295,2295,2300,2300,2300,2300,2250,2295,2295,2299,2295,2299,2325,2385,2400,2400,2475,2400,2400,2395,2390,2395,2395,2395,2395,2415,2500,2515,2400,2495,2500,2550,2495,2495,2550,2497.5,2411,2500,2525,2572.5,2550,2650,2700,2700,2635,2566,2600,2650,2600,2566,2505.5,2500,2500,2625,2558,2425,2595,2495,2642.5,2650,2612,2699,2700,2750,2800,2797.5,2700,2650,2585
"Astoria","New York","NY","New York","Queens",10,,,,,,,,,,,,,,,2225,2300,2400,2400,2400,2350,2400,2400,2495,2495,2500,2400,2400,2500,2600,2700,2600,2500,2600,2550,2550,2600,2600,2650,2600,2600,2695,2700,2800,2800,2700,2700,2700,2700,2800,2900,2900,2852,3000,3000,3000,2812.5,2800,2800,2800,2800,2900,2900,2850,2895,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3100,3000,2950,2950,3000,2990,3000,3000,3000,2975,2900,2862.5,2850,2900
